Id,label,value,log_size,uniqueness,dispensability,queryitem,pvalue
157,carboxylic acid biosynthetic process,-16.066,6.022,0.603,0.366,74,8.6E-17
77,proteolysis,-1.387,6.145,0.81,0.549,79,0.041
164,intracellular transport,-25.959,5.661,0.81,0.371,84,1.1E-26
150,cellular carbohydrate metabolic process,-18.495,5.576,0.846,0.085,86,3.2E-19
168,cellular localization,-21.721,5.768,0.888,0.37,89,1.9E-22
147,cellular catabolic process,-18.301,6.015,0.814,0.098,101,5E-19
68,generation of precursor metabolites and energy,-24.31,5.892,0.895,0.074,105,4.9E-25
63,carbohydrate metabolic process,-5.495,6.156,0.892,0.117,107,0.0000032
114,protein transport,-29.268,5.815,0.834,0,108,5.4E-30
129,macromolecule localization,-30.071,5.933,0.899,0.391,113,8.5E-31
144,cellular amine metabolic process,-31.143,5.077,0.805,0.06,114,7.2E-32
107,amine metabolic process,-25.678,5.151,0.874,0.147,116,2.1E-26
96,catabolic process,-2.187,6.167,0.935,0.083,117,0.0065
130,cellular nitrogen compound metabolic process,-43.553,6.801,0.827,0.143,127,2.8E-44
66,organic acid metabolic process,-33.143,6.347,0.655,0.564,155,7.2E-34
134,cellular ketone metabolic process,-33.602,5.052,0.751,0,157,2.5E-34
112,gene expression,-2.022,6.449,0.872,0.187,216,0.0095
98,macromolecule biosynthetic process,-1.367,6.428,0.792,0.579,220,0.043
85,transport,-14.959,6.638,0.872,0.537,222,1.1E-15
165,localization,-15.092,6.657,1,0,226,8.1E-16
151,cellular protein metabolic process,-17.886,6.566,0.762,0.36,350,1.3E-18
148,cellular biosynthetic process,-12.77,6.74,0.774,0.462,372,1.7E-13
97,biosynthetic process,-14.26,6.771,0.917,0.061,395,5.5E-15
122,protein metabolic process,-17.328,6.68,0.787,0.439,411,4.7E-18
149,cellular macromolecule metabolic process,-1.678,6.79,0.822,0.469,457,0.021
139,macromolecule metabolic process,-2.208,6.92,0.878,0.201,521,0.0062
146,primary metabolic process,-13.456,7.081,0.904,0.257,761,3.5E-14
145,cellular metabolic process,-25.77,7.095,0.895,0.174,767,1.7E-26
110,cellular process,-34.229,7.275,1,0,966,5.9E-35
92,metabolic process,-25.131,7.18,1,0,983,7.4E-26
173,proton transmembrane transport,-7.585,5.424,0.88,0.346,0,1
171,protein localization to mitochondrion,-3.77,4.419,0.83,0.673,0,1
169,nucleobase-containing small molecule metabolic process,-11.585,6.089,0.652,0.58,0,1
142,protein-containing complex subunit organization,-4.244,5.605,0.928,0.012,0,1
135,ethanolamine-containing compound metabolic process,-1.854,3.03,0.784,0.666,0,1
132,intracellular signal transduction,-2.347,5.968,0.931,0.529,0,1
111,shoot system morphogenesis,-1.481,3.643,0.99,0,0,1
104,branched-chain amino acid biosynthetic process,-3.071,5.014,0.662,0.693,0,1
103,branched-chain amino acid metabolic process,-3.921,5.056,0.686,0.521,0,1
84,sulfur compound metabolic process,-1.553,5.778,0.899,0.09,0,1
79,cellular modified amino acid metabolic process,-2.959,5.455,0.852,0.16,0,1
